T36,R,P1,aid in,/eɪd ɪn/ - phrasal verb,To help or assist in something,کمک کردن به,Living organisms aid in the translocation and aeration of the soil.,"کمک در
aid in
---
",[sound:TPO36/aid_in.mp3]
T36,R,P2,entangled,/ɛnˈtæŋɡld/ - adjective,"Caught in something, twisted together",درگیر,Starfish had entangled themselves in the line at depths well below the supposed boundary of the azoic zone.,"درهم تنیده
entangled
---
entangled
adjective
ژولیده, مرکب

ژولیده: unkempt, disheveled, scruffy, tangled, dazed, entangled 28
مرکب: compound, composite, composed, multiplex, mazy, entangled 0
_______________________
گرفتار، گیرکرده، گیرامده، گیرافتاده، گره دار، درهم",[sound:TPO36/entangled.mp3]
T36,R,P3,Melanism,/məˈlæˌnɪzəm/ - noun,The occurrence of dark-colored individuals within a species due to increased melanin,ملانیسم,"This phenomenon, an increase in the frequency of dark-colored mutants in polluted areas, is known as industrial melanism.","ملانیسم
Melanism
---
melanism
noun
سیاهی غیر طبیعی بشره, سیاه چردگی

سیاهی غیر طبیعی بشره: melanism 40
سیاه چردگی: melanism, nigrescence 40
_______________________
سیاهی غیر طبیعی بشره، سیاه چردگی",[sound:TPO36/Melanism.mp3]
T36,R,P3,favored over,/ˈfeɪvərd ˈoʊvər/ - verb phrase,Preferred or chosen above others,برتری یافتن بر,"Because the survival of organisms with particular characteristics is favored over the survival of other organisms in the same species that lack these characteristics, future generations of the species are likely to include more organisms with the favorable characteristics.","مورد پسند
favored over
---
favor:لطفهمراهی، التفات، توجه، مساعدت، مرحمت کردن، نیکی کردن، طرفداری کردن،قانون فقه:همراهی یا طرفداری کردن",[sound:TPO36/favored_over.mp3]
T36,R,P3,pale gray,/peɪl ɡreɪ/ - adjective phrase,"Light in color, specifically a light shade of gray",خاکستری روشن,Originally moths were uniformly pale gray or whitish in color.,"خاکستری کم رنگ
pale gray
---
",[sound:TPO36/pale_gray.mp3]
T36,R,P3,melanic,/məˈlænɪk/ - adjective,"Pertaining to or characterized by melanin, resulting in a dark coloration",ملانیک,"Over a period of decades, dark-colored forms became an increasingly large fraction of some populations and eventually came to dominate peppered moth populations in certain areas—especially those of extreme industrialization such as the Ruhr Valley of Germany and the Midlands of England.","ملانیک
melanic
---
سیاه پوست، از سیاه پوستان ملانزی",[sound:TPO36/melanic.mp3]
T36,R,P3,soot,/sʊt/ - noun,Black powdery or flaky substance produced by the incomplete burning of organic matter,دوده,Coal from industry released large amounts of black soot into the environment.,"دوده
soot
---
soot
noun
دوده, دوده بخاری, رنگ سیاه دوده

دوده: soot, grime, black, smut, lampblack, colly 76
دوده بخاری: soot 0
رنگ سیاه دوده: soot 0
_______________________
soot
verb
دوده زدن

دوده زدن: soot 0
_______________________
دوده گرفتن، دوده بخاری، رنگ سیاه دوده، دوده زدن،علوم مهندسی:دوده،زیست شناسی:دوده",[sound:TPO36/soot.mp3]
T36,R,P3,mutations,/mjuˈteɪʃənz/ - noun,Changes in the DNA sequence that affect genetic information,جهش‌ها,The increase of the dark-colored forms was not due to genetic mutations caused by industrial pollution.,"جهش ها
mutations
---
mutation
noun
جهش, دگرگونی, تحول, تغییر, تغییر ناگهانی, انقلاب, شورش

جهش: mutation, jump, spurt, vault, lunge, pounce 47
دگرگونی: transformation, change, alteration, variation, metamorphosis, mutation 0
تحول: evolution, change, transition, upheaval, mutation, vicissitude 0
تغییر: change, conversion, variation, shift, alteration, mutation 0
تغییر ناگهانی: quirk, mutation, revulsion, whim, peripeteia 0
انقلاب: revolution, revolt, solstice, upheaval, mutation 0
شورش: insurgency, rebellion, revolt, riot, uprising, insurrection 0
_______________________
جهش (ژنتیکی)جهش، دگرگونی، تحول، طغیان، انقلاب، شورش، تغییر ناگهانی،علوم مهندسی:تحول،روانشناسی:جهش،زیست شناسی:جهش",[sound:TPO36/mutations.mp3]
T36,R,P3,mutants,/ˈmjutnts/ - noun,Organisms that have undergone a change in their DNA,جهش‌یافته‌ها,"This phenomenon, an increase in the frequency of dark-colored mutants in polluted areas, is known as industrial melanism.","جهش یافته ها
mutants
---
mutant
noun
دم دمدمی

دم دمدمی: mutant 0
_______________________
تغییر پذیر، دم دمدمی",[sound:TPO36/mutants.mp3]
T36,R,P3,polluted,/pəˈlutɪd/ - adjective,Contaminated with harmful substances,آلوده,"The North American equivalent of this story is another moth, the swettaria form of Biston cognataria, first noticed in industrialized areas such as Chicago and New York City in the early 1900s.","آلوده
polluted
---
polluted
adjective
نجس, ملوی

نجس: unclean, untouchable, polluted 0
ملوی: polluted 0
_______________________
آلوده",[sound:TPO36/polluted.mp3]
T36,R,P3,swettaria,/swɛˈtɛriə/ - noun,A dark-colored form of the moth Biston cognataria,سویتریا,"The North American equivalent of this story is another moth, the swettaria form of Biston cognataria, first noticed in industrialized areas such as Chicago and New York City in the early 1900s.","سویتاریا
swettaria
---
",[sound:TPO36/swettaria.mp3]
T36,R,P3,rural,/ˈrʊrəl/ - adjective,Relating to the countryside rather than the town,روستایی,Kettlewell released thousands of light and dark moths (each marked with a paint spot) into rural and industrialized areas.,"روستایی
rural
---
rural
adjective
روستایی, رعیتی

روستایی: rural, village, rustic, peasant, country, countrified 28
رعیتی: rural 0
_______________________
روستاییرعیتی،روانشناسی:روستایی،بازرگانی:کشاورزی",[sound:TPO36/rural.mp3]
T36,R,P3,lichen,/ˈlaɪkən/ - noun,A symbiotic association between a fungus and an alga or cyanobacterium,گلسنگ,Kettlewell hypothesized that the normal pale forms are difficult to see when resting on lichen-covered trees.,"گلسنگ
lichen
---
lichen
noun
گلسنگ

گلسنگ: lichen 20
_______________________
lichen
verb
با گلسنگ پوشاندن

با گلسنگ پوشاندن: lichen 0
_______________________
(گ.ش). گلسنگ، باگلسنگ پوشاندن،زیست شناسی:گلسنگ",[sound:TPO36/lichen.mp3]
T36,R,P3,voraciously,/vəˈreɪʃəsli/ - adverb,In an eager or ravenous manner,با ولع,"As a test, Kettlewell set up hidden observation positions and watched birds voraciously eat moths placed on tree trunks of a contrasting color.","با حرص
voraciously
---
پرخورانه، حریصانه",[sound:TPO36/voraciously.mp3]
T36,R,P3,Act,/ækt/ - noun,A written ordinance of legislation,قانون,"In Britain, a Clean Air Act was passed in 1965.","عمل کنید
Act
---
act
noun
عمل, فعل, کنش, کار, سند, کردار, حقیقت, رساله, فرمان قانون, تصویب نامه, اعلامیه, پردهءنمایش, امر مسلم

عمل: action, practice, act, operation, function, doing 29
فعل: verb, act, action, deed, work 0
کنش: action, act 0
کار: work, job, labor, task, function, thing 0
سند: document, instrument, deed, evidence, title deed, script 0
کردار: deed, action, act, karma, issue, exploit 0
حقیقت: truth, fact, reality, principle, verity, act 0
رساله: treatise, dissertation, tract, epistle, booklet, leaflet 0
فرمان قانون: act, edict 0
تصویب نامه: decision, act, canon 0
اعلامیه: statement, declaration, proclamation, communique, manifesto, assertion 0
پردهءنمایش: act 0
امر مسلم: certainty, act, actuality 0
_______________________
act
verb
عمل کردن, رفتار کردن, کنش کردن, کار کردن, جان دادن, روح دادن, اثر کردن, بازی کردن, نمایش دادن, بر انگیختن

عمل کردن: act, operate, do, function, work, exercise 0
رفتار کردن: behave, act, treat, demean, handle 0
کنش کردن: act 0
کار کردن: work, function, get on, act, go 0
جان دادن: die, act, enliven, inspirit 0
روح دادن: spirit, act, animate, enliven, vivify, inspirit 0
اثر کردن: act 0
بازی کردن: play, twiddle, sport, toy, act, disport 0
نمایش دادن: display, represent, exhibit, depict, perform, expose 0
بر انگیختن: prod, arouse, infuse, roust, excite, stimulate 0
_______________________
اقدام، عملقرارداد، کنش، فعل، کردار، حقیقت، امرمسلم، فرمان قانون، تصویب نامه، اعلامیه، سند، پیمان، رساله، سرگذشت، پرده ءنمایش (مثل پرده اول)کنش کردن، کارکردن، عمل کردن، جان دادن، روح دادن، برانگیختن، رفتارکردن، اثرکردن، بازی کردن، نمایش دادن،قانون فقه:قانون،روانشناسی:عمل،علوم نظامی:قانون",[sound:TPO36/Act.mp3]
T36,L,C1,intriguing,/ɪnˈtriːɡɪŋ/ - adjective,Arousing one's curiosity or interest; fascinating,جالب,I hadn't thought about that angle. Sounds intriguing.,"جذاب
intriguing
---
intrigue
verb
دسیسه کردن, توطئه چیدن

دسیسه کردن: angle, cabal, intrigue, machinate 0
توطئه چیدن: collude, collogue, intrigue, plot, scheme 0
_______________________
مجذوب کننده",[sound:TPO36/intriguing.mp3]
T36,L,L1,inevitable,/ɪˈnɛvɪtəbəl/ - adjective,Certain to happen; unavoidable,اجتناب ناپذیر,"Not that a positive outcome is inevitable by any means, but well, let's take a look at one of these creative ideas involving a gas - helium-3.","اجتناب ناپذیر
inevitable
---
inevitable
adjective
اجتناب ناپذیر, بدیهی, حتمی الوقوع, نا گزیر, غیر قابل امتناع, نا چار, چاره نا پذیر

اجتناب ناپذیر: inevitable, unavoidable 36
بدیهی: obvious, evident, trivial, axiomatic, natural, inevitable 0
حتمی الوقوع: inevitable 0
نا گزیر: helpless, indispensable, inevitable, needful, ineludible, perforce 0
غیر قابل امتناع: inevitable 0
نا چار: fain, inevitable 0
چاره نا پذیر: inevitable, indispensable, ineluctable, inescapable, irremediable, unavoidable 0
_______________________
اجتناب ناپذیرناچار، نا گزیر، چاره ناپذیر، غیر قابل امتناع، حتما، حتمی الوقوع، بدیهی،قانون فقه:اجتناب ناپذیر، غیر قابل اجتناب",[sound:TPO36/inevitable.mp3]
T36,L,L1,astronauts,/ˈæstrəˌnɔːts/ - noun,People who are trained to travel in a spacecraft,فضانوردان,"In fact, Apollo astronauts have already discovered it in the moon's dust.","فضانوردان
astronauts
---
astronaut
noun
فضانورد, مسافر فضایی

فضانورد: astronaut, spaceman 54
مسافر فضایی: spaceman, astronaut 0
_______________________
",[sound:TPO36/astronauts.mp3]
T36,L,L1,fusion,/ˈfjuːʒən/ - noun,The process or result of joining two or more things together to form a single entity,همجوشی,"Well, we think helium-3 would have to be used in nuclear fusion reactors.","همجوشی
fusion
---
fusion
noun
ادغام, ذوب, امتزاج, گداختگی, ترکیب و امتزاج, امیزش, ائتلاف یک شرکت با شرکت دیگر

ادغام: merger, fusion, assimilation, contraction, diphthong, umlaut 3
ذوب: fusion, font 1
امتزاج: fusion, amalgamation, synthesis, merger, intermixture 0
گداختگی: fusion, flux 0
ترکیب و امتزاج: fusion 0
امیزش: amalgamation, intercourse, fusion, association, combination, converse 0
ائتلاف یک شرکت با شرکت دیگر: fusion 0
_______________________
گداخت، همجوشی، ذوب، اتصال، جوش هسته ای، گداز، عمل ترکیب هسته ای، ائتلاف یک شرکت با شرکت دیگر، ترکیب وامتزاج،علوم مهندسی:امیختگی،شیمی:ذوب،روانشناسی:هم جوشی،زیست شناسی:گداز،علوم هوایی:هم جوشی،علوم نظامی:ترکیب مواد منفجره",[sound:TPO36/fusion.mp3]
T36,L,L1,exploration,/ˌɛkspləˈreɪʃən/ - noun,The action of traveling in or through an unfamiliar area in order to learn about it,اکتشاف,It’s possible that helium-3 could be a significant driver of future exploration of the moon.,"اکتشاف
exploration
---
exploration
noun
اکتشاف, شناسایی, سیاحت اکتشافی, استکشاف

اکتشاف: exploration, discovery, reconnaissance, detection, finding 26
شناسایی: identification, identity, recognition, reconnaissance, exploration, cognizance 0
سیاحت اکتشافی: exploration 0
استکشاف: exploration 0
_______________________
کاوش، اکتشافپویش، پویه، سیاحت اکتشافی، شناسایی،عمران:اکتشاف،معماری:اکتشاف،روانشناسی:کاوش،زیست شناسی:پویش",[sound:TPO36/exploration.mp3]
T36,L,L2,parched,/pɑrtʃt/ - adjective,Extremely dry due to lack of rain,خشکیده,"Using infrared imaging, the satellite-based remote sensing instruments revealed what turned out to be traces of water storage systems and canals, canals that the Mayans built to irrigate their parched soil.","خشک شده
parched
---
parch
verb
برشته کردن, بریان کردن, نیم سوز کردن, خشک شدن, تفتیدن, افتاب سوخته کردن

برشته کردن: toast, brown, parch 9
بریان کردن: grill, barbecue, parch, roast 9
نیم سوز کردن: char, parch 9
خشک شدن: become dry, shrivel, fade, atrophy, wither, parch 9
تفتیدن: parch 9
افتاب سوخته کردن: parch, sunburn 9
_______________________
parch:برشته کردن، بریان کردن، نیم سوز کردن، خشک شدن (باحرارت)، تفتیدن، افتاب سوخته کردن",[sound:TPO36/parched.mp3]
T36,L,L2,false color image,/fɔls ˈkʌlər ˈɪmɪdʒ/ - noun phrase,"An image that depicts an object in colors that differ from those a photograph would show, often to highlight specific features",تصویر رنگ کاذب,"Now, this is a false color image based on an infrared photo.","تصویر رنگ کاذب
false color image
---
",[sound:TPO36/false_color_image.mp3]
T36,L,L2,discoloration,/dɪsˌkʌləˈreɪʃən/ - noun,"The process of changing to a different, less attractive color",تغییر رنگ,"These indicate significant discoloration in the vegetation, at least as it appears to infrared cameras.","تغییر رنگ
discoloration
---
discoloration
noun
بی رنگی, رنگ رفتگی

بی رنگی: discoloration, achromatism 3
رنگ رفتگی: discoloration, depigmentation 0
_______________________
بی رنگی، رنگ رفتگی،علوم مهندسی:رنگ زدایی",[sound:TPO36/discoloration.mp3]
T36,L,L2,overgrown with vegetation,/ˌoʊvərˈɡroʊn wɪð ˌvɛdʒəˈteɪʃən/ - adjective phrase,Covered with plants growing too thickly,پوشیده از گیاه,He checks out three different spots where the photo shows discoloration and finds an ancient Mayan site overgrown with vegetation at every single one.,"پوشیده از پوشش گیاهی
overgrown with vegetation
---
گیاه پوش، پوشیده از گیاه",[sound:TPO36/overgrown_with_vegetation.mp3]
T36,L,L2,seeped into,/siːpt ˈɪntuː/ - verb phrase,Flowed or leaked slowly into something,نفوذ کرد,"Over time, this limestone decayed and seeped into the soil and changed the soil's chemistry.","نفوذ کرد
seeped into
---
",[sound:TPO36/seeped_into.mp3]
T36,L,C2,inception,/ɪnˈsɛpʃən/ - noun,The establishment or starting point of an institution or activity,آغاز,We've been a music station since the station's inception.,"شروع
inception
---
inception
noun
شروع, اغاز, دریافت, سر, درجه گیری, اصل, اکتساب, بستن نطفه

شروع: start, beginning, onset, inception, resumption, alpha 1
اغاز: beginning, start, getaway, commencement, inception, outset 0
دریافت: receipt, reception, perception, comprehension, discernment, inception 0
سر: head, end, tip, mystery, secret, inception 0
درجه گیری: inception 0
اصل: origin, principle, axiom, maxim, element, inception 0
اکتساب: acquisition, attainment, inception 0
بستن نطفه: inception 0
_______________________
اغاز، شروع، درجه گیری، اصل، اکتساب، دریافت، بستن نطفه",[sound:TPO36/inception.mp3]
T36,L,C2,poll,/poʊl/ - noun,The process of voting in an election,نظرسنجی,My application got turned down and...um...I am not sure why. So I wonder if you could explain...,"نظرسنجی
poll
---
poll
noun
رای, رای جویی, اخذ رای دسته جمعی, تعداد اراء اخذ اراء, فهرست نامزدهای انتخاباتی, مراجعه به اراء عمومی, راس کلاه

رای: vote, opinion, verdict, judgment, sentence, poll 0
رای جویی: poll 0
اخذ رای دسته جمعی: poll 0
تعداد اراء اخذ اراء: poll 0
فهرست نامزدهای انتخاباتی: slate, poll 0
مراجعه به اراء عمومی: poll 0
راس کلاه: poll 0
_______________________
poll
verb
رای گرفتن, نمونه برداشتن, سر شماری کردن, رای دادن یا اوردن

رای گرفتن: poll 0
نمونه برداشتن: sample, poll 0
سر شماری کردن: poll 0
رای دادن یا اوردن: poll 0
_______________________
نظرسنجیرای شماری، صورت آراء، حائز شدن، اکثریت، سر، حوزه رای گیری، رای جویی، پهنه، اخذ رای دسته جمعی، تعداد آراء، اخذ آراء (معمولا بصورت جمع)، فهرست نامزدهای انتخاباتی، مراجعه به آرای عمومی، رای دادن، رای آوردن، راس کلاه، رای گرفتن، نمونه برداشتن، سر شماری کردن،قانون فقه:تعداد رای دهندگان،روانشناسی:نظرسنجی،بازرگانی:نظر خواهی کردن",[sound:TPO36/poll.mp3]
T36,L,C2,stale,/steɪl/ - adjective,"No longer fresh and pleasant to eat; hard, musty, or dry",کهنه,"A majority of students said they felt the station was stale, that it needed a breath of fresh air.","کهنه
stale
---
stale
adjective
کهنه, بیات, مانده, مبتذل, پر زور وکهنه, بوی ناگرفته

کهنه: old, stale, archaic, antiquated, obsolete, ancient 15
بیات: stale 13
مانده: remained, remaining, stale, fatigued, fagged, tired 2
مبتذل: vulgar, banal, trite, trivial, stale, commonplace 1
پر زور وکهنه: stale 0
بوی ناگرفته: musty, frowsty, stale 0
_______________________
stale
verb
بیات کردن, مبتذل کردن

بیات کردن: stale 0
مبتذل کردن: hackney, stale, trivialize, vulgarize 0
_______________________
بیات، ماندهکهنه، مانده، بوی ناگرفته، بیات کردن، تازگی و طراوت چیزی را از بین بردن، مبتذل کردن، پر زور و کهنه (مثل آبجو)،بازرگانی:کهنه",[sound:TPO36/stale.mp3]
T36,L,C2,air their views,/ɛr ðɛr vjuːz/ - verb phrase,To express one's opinions publicly,بیان نظرات,"I really think they'd like to have a place where they can air their views about current events, about the university.","نظرات خود را پخش کنید
air their views
---
",[sound:TPO36/air_their_views.mp3]
T36,L,L3,framed view,/freɪmd vjuː/ - noun phrase,"A view that is enclosed in a frame, typically referring to windows or pictures",چشم‌انداز قاب شده,"It has a large window in the living room called a ""picture window,"" which gives you a kind of framed view of the outside.","نمای قاب شده
framed view
---
",[sound:TPO36/framed_view.mp3]
T36,L,L3,assembly line,/əˈsɛmbli laɪn/ - noun,A series of workers and machines in a factory by which a succession of identical items is progressively assembled,خط تولید,"Another way they kept construction prices down was to train workers who went from house to house doing a specific task, sort of like an assembly line.","خط مونتاژ
assembly line
---
assembly line
noun
تیمار خط

تیمار خط: assembly line
_______________________
خط تولید، خط مونتاژ، تیمار خط، دستگاهی که اشیاء یا مصنوعاتی را پشت سرهم ردیف میکند تا بمحل بسته بندی برسد،علوم مهندسی:خط مونتاژ،روانشناسی:خط تولید،بازرگانی:خط مونتاژ، خط کلی",[sound:TPO36/assembly_line.mp3]
T36,L,L3,caught on,/kɔt ɑn/ - verb phrase,To become popular,محبوب شدن,The Levitt's ideas caught on.,"گرفتار شد
caught on
---
",[sound:TPO36/caught_on.mp3]
T36,L,L4,songbirds,/ˈsɔŋbɜrdz/ - noun,Birds that produce musical sounds,پرندگان آوازخوان,"In the forest of New England, there are some small songbirds called wobblers.","پرندگان آوازخوان
songbirds
---
songbird
noun
مرغ نغمه سرا, خواننده زن

مرغ نغمه سرا: songbird 19
خواننده زن: songbird 4
_______________________
مرغ نغمه سرا، (مج). خواننده زن",[sound:TPO36/songbirds.mp3]
T36,L,L4,casual observer,/ˈkæʒuəl əbˈzɜrvər/ - noun phrase,Someone who looks at or inspects something in a relaxed and informal way,ناظر عادی,"To the casual observer, the wobblers do seem to contradict Gause's hypothesis since they all live in the same place and eat the same types of insects.","ناظر اتفاقی
casual observer
---
",[sound:TPO36/casual_observer.mp3]
T36,L,L4,niche,/nɪtʃ/ - noun,"A shallow recess, especially one in a wall to display a statue or other ornament",تو رفتگی,"The concept of a niche includes the way an organism functions in its habitat, how it interacts with other plant and animal species, with the soil, the air, the water and so on.","طاقچه
niche
---
niche
noun
طاقچه, تو رفتگی در دیوار

طاقچه: niche, ledge, shelf, rack, recess, console 27
تو رفتگی در دیوار: niche, recess 13
_______________________
niche
verb
توی دیوار گذاشتن

توی دیوار گذاشتن: niche 0
_______________________
محل مناسبتو رفتگی در دیوار، طاقچه، توی دیوار گذاشتن،معماری:طاقچه",[sound:TPO36/niche.mp3]
